Origem,São Paulo - Guarulhos (Kg),Recife - Guararapes (Kg),Salvador - Dpt. Magalhães (Kg),Natal - Gov. Alves (Kg),São Luiz - Mar. Cunha (Kg),Fortaleza - Martins (Kg)
Aeroporto Internacional de Nursultan Nazarbayev,1714.743,1457.796,1537.254,1435.779,1476.492,1442.052
Aeroporto Internacional de Xangai Pudong,2285.463,2030.238,2109.45,2008.098,2032.452,2010.927
Aeroporto Internacional de Pequim Capital,2162.094,1904.4089999999999,1983.99,1880.055,1897.767,1878.9479999999999
Aeroporto Internacional de Pyongyang Sunan,2227.038,1975.011,2053.608,1948.074,1945.983,1939.587
Aeroporto Internacional de Incheon,2252.3759999999997,1999.6109999999999,2078.454,1972.92,1971.444,1964.925
Aeroporto Internacional Ninoy Aquino,2260.494,2129.868,2188.785,2123.226,2205.882,2151.27
Aeroporto Internacional de Hong Kong,2216.214,2010.189,2080.299,1997.766,2067.015,2018.922
Aeroporto Internacional Indira Gandhi,1771.569,1549.062,1619.295,1537.992,1622.739,1563.822
Aeroporto Internacional Soekarno-Hatta (Jacarta),1922.859,1904.778,1921.383,1919.046,2048.811,1969.599
Aeroporto Internacional Ngurah Rai (Bali),1959.267,1995.4289999999999,1997.397,2014.248,2142.783,2066.277
Aeroporto Internacional de Narita (Tóquio),2274.27,2079.561,2148.687,2048.442,2005.023,2024.58
Aeroporto Internacional de Haneda (Tóquio),2279.805,2081.16,2151.147,2050.1639999999998,2008.836,2027.163
Aeroporto Internacional de Kansai (Osaka),2309.079,2081.652,2156.805,2052.255,2026.7939999999999,2035.6499999999999
Aeroporto Internacional de Wattay (Vientiane),2060.988,1882.761,1944.261,1876.6109999999999,1971.1979999999999,1907.853
Aeroporto Internacional de Kuala Lumpur (Sepang),1956.315,1869.108,1905.639,1875.504,1998.627,1920.768
Aeroporto Internacional de Penang (Penang),1960.251,1854.348,1895.922,1858.653,1978.455,1902.072
Aeroporto Internacional de Malé,1630.734,1490.022,1536.393,1493.466,1613.637,1536.762
Aeroporto Internacional de Changi,1969.107,1896.66,1929.624,1904.532,2029.254,1950.903
Aeroporto Internacional de Suvarnabhumi,2019.291,1864.311,1919.538,1861.728,1966.77,1897.767
Aeroporto Internacional Don Mueang,2018.676,1862.22,1917.816,1859.514,1964.064,1895.307
Aeroporto Internacional de Taiwan Taoyuan,2308.587,2075.256,2151.393,2057.421,2100.225,2068.368
Aeroporto Internacional de Tan Son Nhat,2073.165,1944.507,1994.568,1944.138,2053.116,1982.268
Aeroporto Internacional de Noi Bai,2112.033,1915.848,1982.268,1906.623,1990.263,1933.191
Aeroporto de Frankfurt,1202.448,946.239,1025.328,920.286,946.731,918.933
Aeroporto de Dublin,1305.645,1048.329,1127.91,1023.606,1055.094,1024.713
Aeroporto de Varsóvia Chopin,1307.121,1055.955,1133.568,1027.911,1037.136,1019.9159999999999
Aeroporto de Oslo-Gardermoen,1157.922,900.36,979.941,877.728,923.607,884.4929999999999
Aeroporto de Roma-Fiumicino,1164.072,906.633,986.2139999999999,882.033,917.088,884.247
Aeroporto de Milão-Malpensa,1242.054,984.861,1064.319,959.8919999999999,990.888,960.63
Aeroporto de Praga,1160.628,907.986,985.968,880.311,894.948,874.038
Aeroporto de Heathrow (Londres),1158.783,905.895,983.877,878.343,893.718,872.316
Aeroporto de Gatwick (Londres),1258.29,1000.605,1080.309,977.112,1017.21,981.786
Aeroporto Internacional de Budapeste Ferenc Liszt,1199.373,945.255,1023.729,918.1949999999999,936.645,913.644
Aeroporto de Schiphol (Amsterdã),1369.359,1111.797,1191.378,1088.673,1129.1399999999999,1093.839
Aeroporto Internacional de Boryspil (Kiev),1295.9279999999999,1041.687,1120.2839999999999,1022.007,1080.6779999999999,1034.799
Aeroporto de Istambul,1179.201,922.131,1001.5889999999999,897.039,928.281,897.654
Aeroporto de Zurique,1340.7,1087.197,1165.425,1059.891,1074.528,1054.233
Aeroporto de Estocolmo-Arlanda,1247.343,989.904,1069.485,967.518,1013.643,974.6519999999999
Aeroporto Nikola Tesla (Belgrado),1447.341,1189.779,1269.36,1165.302,1196.175,1166.655
Aeroporto Internacional Sheremetyevo (Moscou),1416.96,1161.366,1240.3319999999999,1135.044,1155.339,1131.969
Aeroporto de Pulkovo (São Petersburgo),1294.575,1037.874,1117.209,1016.472,1066.533,1025.451
Aeroporto Internacional Henri Coandă (Bucareste),972.807,717.951,796.6709999999999,691.26,716.229,688.308
Aeroporto Humberto Delgado (Lisboa),1002.942,748.947,827.298,721.764,743.1659999999999,717.582
Aeroporto Francisco Sá Carneiro (Porto),1128.402,873.3,952.143,853.374,913.029,866.1659999999999
Aeroporto Internacional de Malta,1183.137,927.297,1006.386,901.221,926.067,899.13
Aeroporto de Luxemburgo,1353.123,1096.0529999999999,1175.511,1070.961,1099.866,1071.2069999999999
Aeroporto Internacional de Vilnius,1359.027,1102.818,1182.03,1076.988,1100.481,1075.02
Aeroporto Internacional de Riga,1217.577,961.122,1040.4569999999999,939.966,992.487,949.806
Aeroporto Internacional Madre Teresa (Tirana),1075.266,817.9499999999999,897.408,793.227,829.635,795.564
Aeroporto de Barcelona-El Prat (Espanha),1093.347,836.646,915.981,811.185,842.058,811.308
Aeroporto de Toulouse-Blagnac (França),1242.915,985.23,1064.934,961.245,998.0219999999999,964.443
Aeroporto Internacional de Viena,1184.244,929.511,1008.108,902.697,923.484,899.007
Aeroporto de Bruxelas,1258.536,1002.204,1081.539,981.1709999999999,1033.446,991.134
Aeroporto de Sófia,1248.327,990.6419999999999,1070.223,966.657,1003.803,969.978
Aeroporto de Bratislava,1211.9189999999999,954.111,1033.815,930.372,969.3629999999999,934.308
Aeroporto de Ljubljana Jože Pučnik,1027.665,771.333,850.545,745.503,776.13,745.257
Aeroporto Adolfo Suárez Madrid-Barajas,1075.389,817.9499999999999,897.531,793.35,829.635,795.687
Aeroporto de Barcelona-El Prat,1380.306,1125.327,1204.17,1098.759,1117.578,1094.946
Aeroporto de Tallinn,1241.931,1001.22,1075.389,971.208,962.229,955.833
Aeroporto de Vágar,1387.071,1132.584,1211.181,1105.77,1122.744,1101.219
