Origem,Recife - Guararapes (Km),Salvador - Dpt. Magalhães (Km),Natal - Gov. Alves (Km),São Luiz - Mar. Cunha (Km),Fortaleza - Martins (Km)
Aeroporto Internacional de Guarulhos,,,,,2337.0
Aeroporto Internacional Guararapes - Gilberto Freyre,,,,,626.0
Aeroporto Internacional Deputado Luís Eduardo Magalhães,,,,,1011.0
Aeroporto Internacional Governador Aluízio Alves,,,,,426.0
Aeroporto Internacional Marechal Cunha Machado,,,,,646.0
Aeroporto Internacional Pinto Martins,,,,,1.0
Aeroporto Internacional de Nursultan Nazarbayev,,,,,11725.0
Aeroporto Internacional de Xangai Pudong,,,,,16349.0
Aeroporto Internacional de Pequim Capital,,,,,15277.0
Aeroporto Internacional de Pyongyang Sunan,,,,,15769.0
Aeroporto Internacional de Incheon,,,,,15975.0
Aeroporto Internacional Ninoy Aquino,,,,,17491.0
Aeroporto Internacional de Hong Kong,,,,,16415.0
Aeroporto Internacional Indira Gandhi,,,,,12715.0
Aeroporto Internacional Soekarno-Hatta (Jacarta),,,,,16013.0
Aeroporto Internacional Ngurah Rai (Bali),,,,,16800.0
Aeroporto Internacional de Narita (Tóquio),,,,,16460.0
Aeroporto Internacional de Haneda (Tóquio),,,,,16481.0
Aeroporto Internacional de Kansai (Osaka),,,,,16550.0
Aeroporto Internacional de Wattay (Vientiane),,,,,15512.0
Aeroporto Internacional de Kuala Lumpur (Sepang),,,,,15617.0
Aeroporto Internacional de Penang (Penang),,,,,15464.0
Aeroporto Internacional de Malé,,,,,12495.0
Aeroporto Internacional de Changi,,,,,15861.0
Aeroporto Internacional de Suvarnabhumi,,,,,15430.0
Aeroporto Internacional Don Mueang,,,,,15410.0
Aeroporto Internacional de Taiwan Taoyuan,,,,,16816.0
Aeroporto Internacional de Tan Son Nhat,,,,,16116.0
Aeroporto Internacional de Noi Bai,,,,,15718.0
Aeroporto de Frankfurt,,,,,7472.0
Aeroporto de Dublin,,,,,7019.0
Aeroporto de Varsóvia Chopin,,,,,8332.0
Aeroporto de Oslo-Gardermoen,,,,,8292.0
Aeroporto de Roma-Fiumicino,,,,,7191.0
Aeroporto de Milão-Malpensa,,,,,7189.0
Aeroporto de Praga,,,,,7810.0
Aeroporto de Heathrow (Londres),,,,,7106.0
Aeroporto de Gatwick (Londres),,,,,7092.0
Aeroporto Internacional de Budapeste Ferenc Liszt,,,,,7982.0
Aeroporto de Schiphol (Amsterdã),,,,,7428.0
Aeroporto Internacional de Boryspil (Kiev),,,,,8894.0
Aeroporto de Istambul,,,,,8414.0
Aeroporto de Zurique,,,,,7298.0
Aeroporto de Estocolmo-Arlanda,,,,,8571.0
Aeroporto Nikola Tesla (Belgrado),,,,,7925.0
Aeroporto Internacional Sheremetyevo (Moscou),,,,,9485.0
Aeroporto de Pulkovo (São Petersburgo),,,,,9203.0
Aeroporto Internacional Henri Coand? (Bucareste),,,,,8338.0
Aeroporto Humberto Delgado (Lisboa),,,,,5596.0
Aeroporto Francisco Sá Carneiro (Porto),,,,,5834.0
Aeroporto Internacional de Malta,,,,,7042.0
Aeroporto de Luxemburgo,,,,,7311.0
Aeroporto Internacional de Vilnius,,,,,8709.0
Aeroporto Internacional de Riga,,,,,8740.0
Aeroporto Internacional Madre Teresa (Tirana),,,,,7723.0
Aeroporto de Barcelona-El Prat (Espanha),,,,,6469.0
Aeroporto de Toulouse-Blagnac (França),,,,,6596.0
Aeroporto Internacional de Viena,,,,,7841.0
Aeroporto de Bruxelas,,,,,7309.0
Aeroporto de Sófia,,,,,8058.0
Aeroporto de Bratislava,,,,,7886.0
Aeroporto de Ljubljana Joe Pu?nik,,,,,7597.0
Aeroporto Adolfo Suárez Madrid-Barajas,,,,,6059.0
Aeroporto de Barcelona-El Prat,,,,,6469.0
Aeroporto de Tallinn,,,,,8902.0
Aeroporto de Vágar,,,,,7771.0
Aeroporto de Helsinque,,,,,8953.0
Aeroporto Internacional de Brasília,,,,,1688.0
Aeroporto Internacional de Várzea Grande,,,,,2359.0
Aeroporto Internacional de Belém,,,,,1137.0
Aeroporto Internacional de Tabatinga,,,,,3081.0
Aeroporto Internacional de Manaus,,,,,2392.0
Aeroporto Internacional de Macapá,,,,,1457.0
Aeroporto Internacional de Fortaleza,,,,,
Aeroporto Internacional de Maceió,,,,,660.0
Aeroporto Internacional de Aracaju,,,,,809.0
Aeroporto Internacional de Belo Horizonte,,,,,1826.0
Aeroporto Santos Dumont,,,,,2175.0
Aeroporto Internacional do Rio de Janeiro,,,,,2166.0
Aeroporto Internacional de Vitória,,,,,1833.0
Aeroporto Internacional de São José dos Campos,,,,,2290.0
Aeroporto Internacional de Viracopos,,,,,2372.0
Aeroporto Internacional de Curitiba,,,,,2635.0
Aeroporto Internacional de Florianópolis,,,,,2850.0
Aeroporto Internacional de Navegantes,,,,,2778.0
Aeroporto Internacional de Porto Alegre,,,,,3193.0
Aeroporto Internacional de Boa Vista,,,,,2572.0
