Origem,Recife - Guararapes (Kg),Salvador - Dpt. Magalhães (Kg),Natal - Gov. Alves (Kg),São Luiz - Mar. Cunha (Kg),Fortaleza - Martins (Kg)
Aeroporto Internacional de Guarulhos,,,,,44.12
Aeroporto Internacional Guararapes - Gilberto Freyre,,,,,11.82
Aeroporto Internacional Deputado Luís Eduardo Magalhães,,,,,19.09
Aeroporto Internacional Governador Aluízio Alves,,,,,8.04
Aeroporto Internacional Marechal Cunha Machado,,,,,12.2
Aeroporto Internacional Pinto Martins,,,,,0.02
Aeroporto Internacional de Nursultan Nazarbayev,,,,,221.38
Aeroporto Internacional de Xangai Pudong,,,,,308.69
Aeroporto Internacional de Pequim Capital,,,,,288.45
Aeroporto Internacional de Pyongyang Sunan,,,,,297.73
Aeroporto Internacional de Incheon,,,,,301.62
Aeroporto Internacional Ninoy Aquino,,,,,330.25
Aeroporto Internacional de Hong Kong,,,,,309.93
Aeroporto Internacional Indira Gandhi,,,,,240.07
Aeroporto Internacional Soekarno-Hatta (Jacarta),,,,,302.34
Aeroporto Internacional Ngurah Rai (Bali),,,,,317.2
Aeroporto Internacional de Narita (Tóquio),,,,,310.78
Aeroporto Internacional de Haneda (Tóquio),,,,,311.18
Aeroporto Internacional de Kansai (Osaka),,,,,312.48
Aeroporto Internacional de Wattay (Vientiane),,,,,292.88
Aeroporto Internacional de Kuala Lumpur (Sepang),,,,,294.86
Aeroporto Internacional de Penang (Penang),,,,,291.98
Aeroporto Internacional de Malé,,,,,235.92
Aeroporto Internacional de Changi,,,,,299.47
Aeroporto Internacional de Suvarnabhumi,,,,,291.33
Aeroporto Internacional Don Mueang,,,,,290.96
Aeroporto Internacional de Taiwan Taoyuan,,,,,317.5
Aeroporto Internacional de Tan Son Nhat,,,,,304.29
Aeroporto Internacional de Noi Bai,,,,,296.77
Aeroporto de Frankfurt,,,,,141.08
Aeroporto de Dublin,,,,,132.53
Aeroporto de Varsóvia Chopin,,,,,157.32
Aeroporto de Oslo-Gardermoen,,,,,156.56
Aeroporto de Roma-Fiumicino,,,,,135.77
Aeroporto de Milão-Malpensa,,,,,135.74
Aeroporto de Praga,,,,,147.46
Aeroporto de Heathrow (Londres),,,,,134.17
Aeroporto de Gatwick (Londres),,,,,133.9
Aeroporto Internacional de Budapeste Ferenc Liszt,,,,,150.71
Aeroporto de Schiphol (Amsterdã),,,,,140.25
Aeroporto Internacional de Boryspil (Kiev),,,,,167.93
Aeroporto de Istambul,,,,,158.86
Aeroporto de Zurique,,,,,137.79
Aeroporto de Estocolmo-Arlanda,,,,,161.83
Aeroporto Nikola Tesla (Belgrado),,,,,149.63
Aeroporto Internacional Sheremetyevo (Moscou),,,,,179.09
Aeroporto de Pulkovo (São Petersburgo),,,,,173.76
Aeroporto Internacional Henri Coand? (Bucareste),,,,,157.43
Aeroporto Humberto Delgado (Lisboa),,,,,105.66
Aeroporto Francisco Sá Carneiro (Porto),,,,,110.15
Aeroporto Internacional de Malta,,,,,132.96
Aeroporto de Luxemburgo,,,,,138.04
Aeroporto Internacional de Vilnius,,,,,164.43
Aeroporto Internacional de Riga,,,,,165.02
Aeroporto Internacional Madre Teresa (Tirana),,,,,145.82
Aeroporto de Barcelona-El Prat (Espanha),,,,,122.14
Aeroporto de Toulouse-Blagnac (França),,,,,124.54
Aeroporto Internacional de Viena,,,,,148.05
Aeroporto de Bruxelas,,,,,138.0
Aeroporto de Sófia,,,,,152.14
Aeroporto de Bratislava,,,,,148.9
Aeroporto de Ljubljana Joe Pu?nik,,,,,143.44
Aeroporto Adolfo Suárez Madrid-Barajas,,,,,114.4
Aeroporto de Barcelona-El Prat,,,,,122.14
Aeroporto de Tallinn,,,,,168.08
Aeroporto de Vágar,,,,,146.72
Aeroporto de Helsinque,,,,,169.04
Aeroporto Internacional de Brasília,,,,,31.87
Aeroporto Internacional de Várzea Grande,,,,,44.54
Aeroporto Internacional de Belém,,,,,21.47
Aeroporto Internacional de Tabatinga,,,,,58.17
Aeroporto Internacional de Manaus,,,,,45.16
Aeroporto Internacional de Macapá,,,,,27.51
Aeroporto Internacional de Fortaleza,,,,,
Aeroporto Internacional de Maceió,,,,,12.46
Aeroporto Internacional de Aracaju,,,,,15.27
Aeroporto Internacional de Belo Horizonte,,,,,34.48
Aeroporto Santos Dumont,,,,,41.07
Aeroporto Internacional do Rio de Janeiro,,,,,40.9
Aeroporto Internacional de Vitória,,,,,34.61
Aeroporto Internacional de São José dos Campos,,,,,43.24
Aeroporto Internacional de Viracopos,,,,,44.79
Aeroporto Internacional de Curitiba,,,,,49.75
Aeroporto Internacional de Florianópolis,,,,,53.81
Aeroporto Internacional de Navegantes,,,,,52.45
Aeroporto Internacional de Porto Alegre,,,,,60.29
Aeroporto Internacional de Boa Vista,,,,,48.56
